date,image_name,total_components,components_kept,components_rejected,retention_rate_pct,area_min,area_median,area_max
25.10,larva_015,1,0,1,0.0,0,0.0,0
25.10,larva_016,1,0,1,0.0,0,0.0,0
25.10,larva_017,1,0,1,0.0,0,0.0,0
25.10,larva_018,1,0,1,0.0,0,0.0,0
25.10,larva_019,1,0,1,0.0,0,0.0,0
25.10,larva_020,1,0,1,0.0,0,0.0,0
25.10,larva_021,1,0,1,0.0,0,0.0,0
26.10,larva_001,5,1,4,20.0,167,167.0,167
26.10,larva_002,1,0,1,0.0,0,0.0,0
26.10,larva_003,1,0,1,0.0,0,0.0,0
26.10,larva_004,1,0,1,0.0,0,0.0,0
26.10,larva_005,1,0,1,0.0,0,0.0,0
26.10,larva_006,1,0,1,0.0,0,0.0,0
26.10,larva_007,1,0,1,0.0,0,0.0,0
26.10,larva_008,1,0,1,0.0,0,0.0,0
26.10,larva_009,1,0,1,0.0,0,0.0,0
26.10,larva_010,1,0,1,0.0,0,0.0,0
26.10,larva_011,1,0,1,0.0,0,0.0,0
26.10,larva_012,1,0,1,0.0,0,0.0,0
26.10,larva_013,1,0,1,0.0,0,0.0,0
26.10,larva_014,1,0,1,0.0,0,0.0,0
26.10,larva_015,1,0,1,0.0,0,0.0,0
26.10,larva_016,1,0,1,0.0,0,0.0,0
26.10,larva_017,1,0,1,0.0,0,0.0,0
26.10,larva_018,1,0,1,0.0,0,0.0,0
26.10,larva_019,1,0,1,0.0,0,0.0,0
26.10,larva_020,2,1,1,50.0,248,248.0,248
26.10,larva_001,2,0,2,0.0,0,0.0,0
26.10,larva_002,1,0,1,0.0,0,0.0,0
26.10,larva_003,1,0,1,0.0,0,0.0,0
26.10,larva_004,1,0,1,0.0,0,0.0,0
26.10,larva_005,5,0,5,0.0,0,0.0,0
26.10,larva_006,3,0,3,0.0,0,0.0,0
26.10,larva_007,1,0,1,0.0,0,0.0,0
26.10,larva_008,1,0,1,0.0,0,0.0,0
26.10,larva_009,1,0,1,0.0,0,0.0,0
26.10,larva_010,1,0,1,0.0,0,0.0,0
26.10,larva_011,1,0,1,0.0,0,0.0,0
26.10,larva_012,1,0,1,0.0,0,0.0,0
26.10,larva_013,1,0,1,0.0,0,0.0,0
26.10,larva_014,1,0,1,0.0,0,0.0,0
26.10,larva_015,1,0,1,0.0,0,0.0,0
26.10,larva_016,1,0,1,0.0,0,0.0,0
26.10,larva_017,1,0,1,0.0,0,0.0,0
26.10,larva_018,1,0,1,0.0,0,0.0,0
26.10,larva_019,1,0,1,0.0,0,0.0,0
26.10,larva_020,1,0,1,0.0,0,0.0,0
26.10,larva_021,1,0,1,0.0,0,0.0,0
26.10,larva_022,1,0,1,0.0,0,0.0,0
26.10,larva_023,1,0,1,0.0,0,0.0,0
26.10,larva_024,1,0,1,0.0,0,0.0,0
26.10,larva_025,1,0,1,0.0,0,0.0,0
26.10,larva_001,1,0,1,0.0,0,0.0,0
26.10,larva_002,1,0,1,0.0,0,0.0,0
26.10,larva_003,1,0,1,0.0,0,0.0,0
26.10,larva_004,1,0,1,0.0,0,0.0,0
26.10,larva_005,1,0,1,0.0,0,0.0,0
27.10,larva_001,2,0,2,0.0,0,0.0,0
27.10,larva_002,1,0,1,0.0,0,0.0,0
27.10,larva_003,4,0,4,0.0,0,0.0,0
27.10,larva_004,3,0,3,0.0,0,0.0,0
27.10,larva_005,6,0,6,0.0,0,0.0,0
27.10,larva_006,1,0,1,0.0,0,0.0,0
27.10,larva_007,1,0,1,0.0,0,0.0,0
27.10,larva_008,1,0,1,0.0,0,0.0,0
27.10,larva_009,1,0,1,0.0,0,0.0,0
27.10,larva_010,1,0,1,0.0,0,0.0,0
27.10,larva_011,1,0,1,0.0,0,0.0,0
27.10,larva_012,1,0,1,0.0,0,0.0,0
27.10,larva_013,1,0,1,0.0,0,0.0,0
27.10,larva_014,1,0,1,0.0,0,0.0,0
27.10,larva_015,1,0,1,0.0,0,0.0,0
27.10,larva_016,1,0,1,0.0,0,0.0,0
27.10,larva_017,2,0,2,0.0,0,0.0,0
27.10,larva_018,1,0,1,0.0,0,0.0,0
27.10,larva_019,1,0,1,0.0,0,0.0,0
27.10,larva_020,1,0,1,0.0,0,0.0,0
27.10,larva_021,1,0,1,0.0,0,0.0,0
27.10,larva_022,1,0,1,0.0,0,0.0,0
27.10,larva_023,1,0,1,0.0,0,0.0,0
27.10,larva_024,1,0,1,0.0,0,0.0,0
27.10,larva_025,1,0,1,0.0,0,0.0,0
27.10,larva_026,1,0,1,0.0,0,0.0,0
27.10,larva_027,1,0,1,0.0,0,0.0,0
27.10,larva_028,1,0,1,0.0,0,0.0,0
27.10,larva_029,1,0,1,0.0,0,0.0,0
27.10,larva_030,1,0,1,0.0,0,0.0,0
27.10,larva_031,1,0,1,0.0,0,0.0,0
27.10,larva_032,1,0,1,0.0,0,0.0,0
27.10,larva_033,1,0,1,0.0,0,0.0,0
27.10,larva_034,1,0,1,0.0,0,0.0,0
27.10,larva_035,1,0,1,0.0,0,0.0,0
27.10,larva_036,1,0,1,0.0,0,0.0,0
27.10,larva_037,1,0,1,0.0,0,0.0,0
27.10,larva_001,2,0,2,0.0,0,0.0,0
27.10,larva_002,1,0,1,0.0,0,0.0,0
27.10,larva_003,1,0,1,0.0,0,0.0,0
27.10,larva_004,1,0,1,0.0,0,0.0,0
27.10,larva_005,1,0,1,0.0,0,0.0,0
27.10,larva_006,1,0,1,0.0,0,0.0,0
27.10,larva_007,2,0,2,0.0,0,0.0,0
27.10,larva_008,1,0,1,0.0,0,0.0,0
27.10,larva_009,1,0,1,0.0,0,0.0,0
27.10,larva_010,1,0,1,0.0,0,0.0,0
27.10,larva_011,1,0,1,0.0,0,0.0,0
27.10,larva_012,1,0,1,0.0,0,0.0,0
27.10,larva_013,2,0,2,0.0,0,0.0,0
29.10,larva_001,1,0,1,0.0,0,0.0,0
29.10,larva_002,1,0,1,0.0,0,0.0,0
29.10,larva_003,1,0,1,0.0,0,0.0,0
29.10,larva_004,1,0,1,0.0,0,0.0,0
29.10,larva_005,1,0,1,0.0,0,0.0,0
29.10,larva_006,1,0,1,0.0,0,0.0,0
29.10,larva_007,1,0,1,0.0,0,0.0,0
29.10,larva_008,1,0,1,0.0,0,0.0,0
29.10,larva_009,1,0,1,0.0,0,0.0,0
29.10,larva_010,1,0,1,0.0,0,0.0,0
29.10,larva_011,1,0,1,0.0,0,0.0,0
29.10,larva_012,1,0,1,0.0,0,0.0,0
29.10,larva_013,1,0,1,0.0,0,0.0,0
29.10,larva_014,1,0,1,0.0,0,0.0,0
29.10,larva_015,1,0,1,0.0,0,0.0,0
29.10,larva_016,1,0,1,0.0,0,0.0,0
29.10,larva_017,1,0,1,0.0,0,0.0,0
29.10,larva_018,1,0,1,0.0,0,0.0,0
29.10,larva_019,1,0,1,0.0,0,0.0,0
29.10,larva_020,1,0,1,0.0,0,0.0,0
29.10,larva_021,1,0,1,0.0,0,0.0,0
29.10,larva_022,1,0,1,0.0,0,0.0,0
29.10,larva_023,1,0,1,0.0,0,0.0,0
29.10,larva_024,1,0,1,0.0,0,0.0,0
29.10,larva_025,1,0,1,0.0,0,0.0,0
29.10,larva_026,1,0,1,0.0,0,0.0,0
29.10,larva_027,1,0,1,0.0,0,0.0,0
29.10,larva_028,1,0,1,0.0,0,0.0,0
29.10,larva_029,1,0,1,0.0,0,0.0,0
29.10,larva_030,1,0,1,0.0,0,0.0,0
29.10,larva_031,1,0,1,0.0,0,0.0,0
29.10,larva_032,1,0,1,0.0,0,0.0,0
29.10,larva_033,1,0,1,0.0,0,0.0,0
29.10,larva_034,1,0,1,0.0,0,0.0,0
29.10,larva_035,1,0,1,0.0,0,0.0,0
29.10,larva_036,1,0,1,0.0,0,0.0,0
29.10,larva_037,1,0,1,0.0,0,0.0,0
29.10,larva_038,1,0,1,0.0,0,0.0,0
29.10,larva_039,1,0,1,0.0,0,0.0,0
29.10,larva_040,1,0,1,0.0,0,0.0,0
29.10,larva_041,1,0,1,0.0,0,0.0,0
29.10,larva_042,1,0,1,0.0,0,0.0,0
29.10,larva_043,1,0,1,0.0,0,0.0,0
29.10,larva_044,1,0,1,0.0,0,0.0,0
29.10,larva_045,1,0,1,0.0,0,0.0,0
29.10,larva_046,1,0,1,0.0,0,0.0,0
29.10,larva_047,1,0,1,0.0,0,0.0,0
29.10,larva_048,1,0,1,0.0,0,0.0,0
29.10,larva_049,1,0,1,0.0,0,0.0,0
29.10,larva_050,1,0,1,0.0,0,0.0,0
3.11,larva_001,1,0,1,0.0,0,0.0,0
3.11,larva_002,1,0,1,0.0,0,0.0,0
3.11,larva_003,1,0,1,0.0,0,0.0,0
3.11,larva_004,1,0,1,0.0,0,0.0,0
3.11,larva_005,1,0,1,0.0,0,0.0,0
3.11,larva_006,1,0,1,0.0,0,0.0,0
3.11,larva_007,1,0,1,0.0,0,0.0,0
3.11,larva_008,1,0,1,0.0,0,0.0,0
3.11,larva_009,1,0,1,0.0,0,0.0,0
3.11,larva_010,1,0,1,0.0,0,0.0,0
3.11,larva_011,1,0,1,0.0,0,0.0,0
3.11,larva_012,1,0,1,0.0,0,0.0,0
3.11,larva_013,1,0,1,0.0,0,0.0,0
3.11,larva_014,1,0,1,0.0,0,0.0,0
3.11,larva_015,1,0,1,0.0,0,0.0,0
3.11,larva_016,1,0,1,0.0,0,0.0,0
3.11,larva_017,1,0,1,0.0,0,0.0,0
3.11,larva_018,1,0,1,0.0,0,0.0,0
3.11,larva_019,1,0,1,0.0,0,0.0,0
3.11,larva_020,1,0,1,0.0,0,0.0,0
3.11,larva_021,1,0,1,0.0,0,0.0,0
3.11,larva_022,1,0,1,0.0,0,0.0,0
3.11,larva_023,1,0,1,0.0,0,0.0,0
3.11,larva_024,1,0,1,0.0,0,0.0,0
3.11,larva_025,1,0,1,0.0,0,0.0,0
3.11,larva_026,1,0,1,0.0,0,0.0,0
3.11,larva_027,1,0,1,0.0,0,0.0,0
3.11,larva_028,1,0,1,0.0,0,0.0,0
3.11,larva_029,1,0,1,0.0,0,0.0,0
3.11,larva_030,1,0,1,0.0,0,0.0,0
3.11,larva_031,1,0,1,0.0,0,0.0,0
3.11,larva_032,1,0,1,0.0,0,0.0,0
3.11,larva_033,1,0,1,0.0,0,0.0,0
3.11,larva_034,1,0,1,0.0,0,0.0,0
3.11,larva_035,1,0,1,0.0,0,0.0,0
